ElementId,Category,FamilyAndType,Mark,LocationType,FacingAngle_deg,Model_X_ft,Model_Y_ft,Model_Z_ft,Tag_U_ft,Tag_V_ft,ViewLocal_U_ft,ViewLocal_V_ft,BBox_Min_X,BBox_Min_Y,BBox_Max_X,BBox_Max_Y
198749,Walls,Wall - Timber Clad,,CurveMidpt,,22.8377,-3.4501,0.0000,22.8377,-3.4501,22.8377,-3.4501,22.5063,-10.9632,23.1691,4.3944
418079,Walls,Wall - Timber Clad,,CurveMidpt,,27.7622,9.5125,0.0000,27.7622,9.5125,27.7622,9.5125,22.5129,9.1811,33.0116,9.8439
422243,Walls,Wall - Timber Clad,,CurveMidpt,,27.8262,4.0630,0.0000,27.8262,4.0630,27.8262,4.0630,22.5785,3.7316,32.8147,4.3944
422466,Doors,800 x 2100,103,Point,360.0000,30.9775,4.0630,0.0000,30.9775,4.0630,30.9775,4.0630,29.4027,1.1065,32.5523,4.4928
423099,Walls,SH_Curtain wall,,CurveMidpt,,37.9328,9.3452,0.0000,37.9328,9.3452,37.9328,9.3452,33.0116,7.7047,42.8541,10.9856
424922,Walls,Interior - 165 Partition (1-hr),,CurveMidpt,,27.8262,-2.4414,0.0000,27.8262,-2.4414,27.8262,-2.4414,22.8377,-2.7123,32.8147,-2.1706
425292,Doors,800 x 2100,104,Point,360.0000,30.9775,-2.4414,0.0000,30.9775,-2.4414,30.9775,-2.4414,29.4027,-5.3374,32.5523,-2.0722
425745,Walls,Interior - 165 Partition (1-hr),,CurveMidpt,,25.0738,-6.6383,0.0000,25.0738,-6.6383,25.0738,-6.6383,24.8029,-10.8353,25.3446,-2.4414
427092,Walls,Wall - Timber Clad,,CurveMidpt,,43.1855,-27.8628,0.0000,43.1855,-27.8628,43.1855,-27.8628,42.8541,-60.3792,43.5168,4.6536
493612,Walls,CL_W1,,CurveMidpt,,-37.6905,4.8308,0.0000,-37.6905,4.8308,-37.6905,4.8308,-38.1498,-11.4226,-37.2312,21.0842
493697,Walls,CL_W1,,CurveMidpt,,-3.1990,20.6249,0.0000,-3.1990,20.6249,-3.1990,20.6249,-38.1498,20.1656,32.6635,21.0842
493790,Walls,CL_W1,,CurveMidpt,,51.9151,5.0605,0.0000,51.9151,5.0605,51.9151,5.0605,31.1386,-10.9960,73.9522,20.6249
493879,Walls,Foundation - 300mm Concrete,,CurveMidpt,,57.8616,-10.5039,0.0000,57.8616,-10.5039,57.8616,-10.5039,42.8541,-10.9960,72.5377,-10.0118
