ElementId,Category,FamilyAndType,Mark,LocationType,FacingAngle_deg,Model_X_ft,Model_Y_ft,Model_Z_ft,Tag_U_ft,Tag_V_ft,ViewLocal_U_ft,ViewLocal_V_ft,BBox_Min_X,BBox_Min_Y,BBox_Max_X,BBox_Max_Y
619340,Walls,"Exterior - 13 5/8"" Rainscreen (Two Sides) w Insultation on Metal Stud",,CurveMidpt,,-110.9323,9.1581,-5.9167,-110.9323,9.1581,-110.9323,9.1581,-111.5000,-0.1681,-110.3646,18.7083
619404,Walls,"Core - Concrete 12""",,CurveMidpt,,-105.5625,43.2500,-5.9167,-105.5625,43.2500,-105.5625,43.2500,-111.5000,42.7500,-99.6250,43.7500
619550,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud (Alley)",,CurveMidpt,,67.4207,3.2773,0.0000,67.4207,3.2773,67.4207,3.2773,63.1901,-24.9650,71.6514,31.5195
622037,Stairs,Stair,,BBoxCenter,,-104.8125,33.6979,1.2092,-104.8125,33.6979,-104.8125,33.6979,-109.0000,25.6875,-100.6250,41.7083
622384,Stairs,Stair,,BBoxCenter,,-104.8125,33.6979,13.4583,-104.8125,33.6979,-104.8125,33.6979,-109.0000,25.6875,-100.6250,41.7083
630930,Walls,"Chase - GWB & Metal Stud 4 1/4""",,CurveMidpt,,-109.1771,31.2292,-16.9167,-109.1771,31.2292,-109.1771,31.2292,-109.3542,19.2083,-109.0000,43.2500
660428,Doors,"36"" x 84"" (180 MIN)",S32,Point,180.0000,43.8927,2.3750,8.0833,43.8927,2.3750,43.8927,2.3750,42.1635,-1.0417,45.5594,2.9167
674522,Walls,"Core - Concrete 12""",,CurveMidpt,,-100.1250,30.7161,-5.9167,-100.1250,30.7161,-100.1250,30.7161,-100.6250,18.7083,-99.6250,42.2240
674794,Walls,"Core - Concrete 12""",,CurveMidpt,,-105.5625,19.2083,-5.9167,-105.5625,19.2083,-105.5625,19.2083,-111.5000,18.7083,-100.1250,19.7083
678407,Walls,"Core - Concrete 10""",,CurveMidpt,,3.5000,23.7370,-3.4583,3.5000,23.7370,3.5000,23.7370,3.0833,18.8750,3.9167,28.1823
684173,Walls,"Core - Concrete 12""",,CurveMidpt,,50.6250,-11.8750,0.0000,50.6250,-11.8750,50.6250,-11.8750,50.1250,-26.1250,51.1250,2.3750
685081,Walls,"Party - 6 1/8"" (2-hr)",,CurveMidpt,,-20.2500,25.6146,8.0833,-20.2500,25.6146,-20.2500,25.6146,-20.7396,9.0052,-19.7604,42.2240
686974,Walls,"Chase - GWB & Metal Stud 6 5/8""",,CurveMidpt,,42.2144,-30.1941,0.0000,42.2144,-30.1941,42.2144,-30.1941,41.2414,-30.5911,43.3753,-29.7628
687063,Walls,"Core - Concrete 12""",,CurveMidpt,,45.9375,-26.1250,0.0000,45.9375,-26.1250,45.9375,-26.1250,40.7500,-26.6250,51.1250,-25.6250
687200,Walls,"Exterior - 5 3/8"" Rainscreen w Insultation (for Concrete Core Walls)",,CurveMidpt,,43.1514,-28.0979,0.0000,43.1514,-28.0979,43.1514,-28.0979,42.9274,-30.0707,43.3753,-26.1250
695423,Stairs,Stair,,BBoxCenter,,43.6042,-8.9792,4.2272,43.6042,-8.9792,43.6042,-8.9792,41.7500,-14.9375,45.4583,-3.0208
697096,Walls,"Exterior - 14 5/8"" Rainscreen w Insultation on Metal Stud",,CurveMidpt,,-49.6406,-8.6719,-3.4583,-49.6406,-8.6719,-49.6406,-8.6719,-50.2500,-26.4167,-49.0312,9.5000
697693,Walls,"Core - Concrete 12""",,CurveMidpt,,-111.0000,31.2292,-5.9167,-111.0000,31.2292,-111.0000,31.2292,-111.5000,19.2083,-110.5000,43.2500
697710,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,CurveMidpt,,-74.9375,42.2240,-5.9167,-74.9375,42.2240,-74.9375,42.2240,-100.1250,41.6979,-49.7500,42.7500
700016,Stairs,Stair,,BBoxCenter,,45.9375,-11.7813,13.4583,45.9375,-11.7813,45.9375,-11.7813,41.7500,-19.6250,50.1250,-3.9375
734799,Walls,"Party - 6 1/8"" (2-hr)",,CurveMidpt,,3.5833,35.1563,8.0833,3.5833,35.1563,3.5833,35.1563,3.0938,28.0885,4.0729,42.2240
735382,Walls,"Core - Concrete 10""",,CurveMidpt,,-1.3568,19.2917,-3.4583,-1.3568,19.2917,-1.3568,19.2917,-6.2135,18.8750,3.5000,19.7083
735544,Walls,"Interior - 6 1/8"" Partition (2-hr)",,CurveMidpt,,-90.3073,22.0833,-5.9167,-90.3073,22.0833,-90.3073,22.0833,-90.5625,19.0885,-90.0521,25.2083
736143,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,CurveMidpt,,-57.1380,36.2240,-5.9167,-57.1380,36.2240,-57.1380,36.2240,-65.5521,35.6979,-49.2500,36.7500
737373,Walls,"Interior - 7 1/4"" Partition (1 hr)",,CurveMidpt,,-65.2500,28.3073,-5.9167,-65.2500,28.3073,-65.2500,28.3073,-65.5521,20.3906,-64.9479,36.2240
738934,Walls,"Interior - 4 7/8"" Partition (1-hr)",,CurveMidpt,,-80.3880,25.2448,-5.9167,-80.3880,25.2448,-80.3880,25.2448,-90.4583,25.0417,-70.1146,25.4479
739021,Walls,"Interior - 4 7/8"" Partition (1-hr)",,CurveMidpt,,-70.3177,26.9948,-5.9167,-70.3177,26.9948,-70.3177,26.9948,-70.5208,25.2448,-70.1146,28.9479
739059,Walls,"Interior - 4 7/8"" Partition (1-hr)",,CurveMidpt,,-67.7839,28.7448,-5.9167,-67.7839,28.7448,-67.7839,28.7448,-70.3177,28.5417,-65.2500,28.9479
746421,Stairs,Stair,,BBoxCenter,,-15.0937,-4.6458,13.4583,-15.0937,-4.6458,-15.0937,-4.6458,-19.0937,-11.1042,-11.0937,1.8125
748363,Walls,"Party - 6 1/8"" (2-hr)",,CurveMidpt,,41.2500,25.6146,8.0833,41.2500,25.6146,41.2500,25.6146,40.7604,9.0052,41.7396,42.2240
748511,Walls,"Interior - 6 1/8"" Partition (2-hr)",,CurveMidpt,,-22.2292,9.0052,8.0833,-22.2292,9.0052,-22.2292,9.0052,-39.8229,8.7500,-4.9896,9.2604
748731,Walls,"Interior - 6 1/8"" Partition (2-hr)",,CurveMidpt,,21.8516,2.4948,8.0833,21.8516,2.4948,21.8516,2.4948,3.0938,2.2396,40.1198,2.7500
748796,Walls,"Interior - 6 1/8"" Partition (2-hr)",,CurveMidpt,,-34.9453,2.4948,8.0833,-34.9453,2.4948,-34.9453,2.4948,-49.6406,2.2396,-19.7604,2.7500
748858,Walls,"Party - 6 1/8"" (2-hr)",,CurveMidpt,,-20.2500,-12.5234,8.0833,-20.2500,-12.5234,-20.2500,-12.5234,-20.7396,-27.5417,-19.7604,2.4948
748873,Walls,"Party - 6 1/8"" (2-hr)",,CurveMidpt,,3.5833,-13.6510,8.0833,3.5833,-13.6510,3.5833,-13.6510,3.0938,-30.0729,4.0729,2.4948
751237,Walls,"Interior - 6 1/8"" Partition (2-hr)",,CurveMidpt,,27.3073,9.0052,8.0833,27.3073,9.0052,27.3073,9.0052,3.5833,8.7500,51.3854,9.2604
756614,Walls,"Core - Concrete 10""",,CurveMidpt,,-1.0833,27.5417,-3.4583,-1.0833,27.5417,-1.0833,27.5417,-6.0833,27.1250,3.9167,27.9583
756775,Walls,"Core - Concrete 10""",,CurveMidpt,,-5.6667,23.0964,-3.4583,-5.6667,23.0964,-5.6667,23.0964,-6.0833,18.6510,-5.2500,27.5417
756965,Walls,"Core - Concrete 10""",,CurveMidpt,,-90.8750,29.7500,-5.9167,-90.8750,29.7500,-90.8750,29.7500,-91.2917,25.6250,-90.4583,34.2917
757097,Walls,"Core - Concrete 10""",,CurveMidpt,,-95.5000,33.8750,-5.9167,-95.5000,33.8750,-95.5000,33.8750,-100.1250,33.4583,-90.8750,34.2917
757247,Walls,"Core - Concrete 10""",,CurveMidpt,,-95.5000,25.6250,-5.9167,-95.5000,25.6250,-95.5000,25.6250,-100.1250,25.2083,-90.4583,26.0417
785946,Walls,"Interior - 4 7/8"" Partition (NR)",,CurveMidpt,,-43.0260,-1.9635,8.0833,-43.0260,-1.9635,-43.0260,-1.9635,-44.2604,-2.1667,-41.7917,-1.7604
785947,Walls,"Interior - 7 1/4"" Partition (NR)",,CurveMidpt,,-41.7917,-6.9766,8.0833,-41.7917,-6.9766,-41.7917,-6.9766,-42.0938,-12.0937,-41.4896,-2.0625
785948,Walls,"Interior - 4 7/8"" Partition (NR)",,CurveMidpt,,-30.4818,-11.0573,8.0833,-30.4818,-11.0573,-30.4818,-11.0573,-32.2344,-11.2604,-28.7292,-10.8542
785949,Walls,"Interior - 4 7/8"" Partition (NR)",,CurveMidpt,,-28.6302,-3.2135,8.0833,-28.6302,-3.2135,-28.6302,-3.2135,-28.8333,-4.6667,-28.4271,-1.9635
785950,Walls,"Interior - 4 7/8"" Partition (NR)",,CurveMidpt,,-43.0260,-11.8906,8.0833,-43.0260,-11.8906,-43.0260,-11.8906,-44.2604,-12.0937,-41.7917,-11.6875
785952,Walls,"Interior - 4 7/8"" Partition (NR)",,CurveMidpt,,-30.4323,-4.4635,8.0833,-30.4323,-4.4635,-30.4323,-4.4635,-32.2344,-4.6667,-28.6302,-4.2604
785953,Walls,"Interior - 4 7/8"" Partition (NR)",,CurveMidpt,,-27.4948,-11.8906,8.0833,-27.4948,-11.8906,-27.4948,-11.8906,-28.7292,-12.0937,-26.2604,-11.6875
785954,Walls,"Interior - 4 7/8"" Partition (NR)",,CurveMidpt,,-32.2344,-9.9635,8.0833,-32.2344,-9.9635,-32.2344,-9.9635,-32.4375,-10.9583,-32.0313,-8.9687
